食物名,地区,可食部分,能量,水分,蛋白质,脂肪,膳食纤维,碳水化物,视黄醇当量,硫胺素(VB1),核黄素(VB2),尼克酸(烟酸VPP),维生素E,钠,钙,铁,类别,抗坏血酸(VC),类,胆固醇
白菜（脱水）,甘肃兰州,100,286,10,6.2,0.8,9.4,63.5,,0.24,,4.8,187,492.5,908,13.8,31,187,5,
白菜（大白菜）,,92,21,93.6,1.7,0.2,0.6,3.1,42,0.06,0.07,0.8,0.92,89.3,69,0.5,31,47,50,
白菜苔（菜苔菜心）,,84,25,91.3,2.8,0.5,1.7,2.3,160,0.05,0.08,1.2,0.52,26,96,2.8,31,44,50,
菠菜（赤根菜）,,89,24,91.2,2.6,0.3,1.7,2.8,487,0.04,0.11,0.6,1.74,85.2,66,2.9,31,32,50,
菠菜（脱水）,甘肃兰州,100,283,9.2,6.4,0.6,12.7,63,598,0.2,0.18,3.9,7.73,242,411,25.9,31,82,5,
菜花（花椰菜）,,82,24,92.4,2.1,0.2,1.2,3.4,5,0.03,0.08,0.6,0.43,31.6,23,1.1,31,61,50,
菜花（脱水）,甘肃兰州,100,286,9.8,6.5,0.6,13.2,63.6,,0.21,,7.4,,264.3,185,6.4,31,82,5,
菜节（油菜苔，油菜心）,上海,93,20,94.2,1.9,0.6,1,1.8,185,0.02,0.1,0.5,0.48,56.2,92,1.3,31,54,50,
莼菜（瓶装，花案板）,浙江杭州,100,20,94.5,1.4,0.1,0.5,3.3,55,,0.01,0.1,0.9,7.9,42,2.4,31,,50,
葱茎（脱水）,甘肃兰州,100,303,9.7,6.3,0.4,11.4,68.6,35,0.07,0.06,3,,44.9,49,22.1,31,89,5,
葱头（洋葱）,,90,39,89.2,1.1,0.2,0.9,8.1,3,0.03,0.03,0.3,0.14,4.4,24,0.6,31,8,50,
葱头（白皮，脱水）,甘肃高台,100,330,9.1,5.5,0.4,5.7,76.2,5,0.16,0.16,1,,31.7,186,0.9,31,22,5,
葱头（紫皮，脱水）,,100,324,9.1,6.9,0.4,7.5,73.1,3,0.2,0.14,1,,77.4,351,6.2,31,5,50,
大白菜（青白口）,,83,15,95.1,1.4,0.1,0.9,2.1,13,0.03,0.04,0.4,0.36,48.4,35,0.6,31,28,50,
榨菜,,100,29,75,2.2,0.3,2.1,4.4,83,0.03,0.06,0.5,,4252.6,155,3.9,84,2,1,
草菇（大黑头细花草）,广东,100,23,92.3,2.7,0.2,1.6,2.7,,0.08,0.34,8,0.4,73,17,1.3,34,,25,
大红菇（草质红菇）,福建泰宁,100,200,15.5,24.4,2.8,31.6,19.3,13,0.26,6.9,19.5,,1.7,1,7.5,34,2,25,
